DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
240110137,04/09/2024 12:00:00 AM,04/09/2024 12:00:00 AM,1425,01,Central,0143,2,888,TRESPASSING,1501 0910,0,M,O,902,MTA - RED LINE - PERSHING SQUARE,,,IC,Invest Cont,888,,,,400 S  HILL                         ST,,34.0502,-118.2504
240100711,06/15/2024 12:00:00 AM,06/15/2024 12:00:00 AM,1013,01,Central,0161,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344,0,X,X,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,700 S  FIGUEROA                     ST,,34.0483,-118.2631
240110903,04/30/2024 12:00:00 AM,04/30/2024 12:00:00 AM,1730,01,Central,0138,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,22,M,H,405,CLOTHING STORE,,,IC,Invest Cont,442,,,,300 E  2ND                          ST,,34.0493,-118.2417
240119218,09/30/2024 12:00:00 AM,09/27/2024 12:00:00 AM,1241,01,Central,0111,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822 0394,21,M,D,145,MAIL BOX,,,IC,Invest Cont,440,,,,700 N  HILL                         PL,,34.062,-118.2425
240108924,03/12/2024 12:00:00 AM,03/09/2024 12:00:00 AM,2300,01,Central,0134,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,23,F,H,207,BAR/COCKTAIL/NIGHTCLUB,,,IC,Invest Cont,440,,,,300 S  HILL                         ST,,34.0516,-118.2491
240113170,06/22/2024 12:00:00 AM,06/22/2024 12:00:00 AM,0845,01,Central,0153,2,888,TRESPASSING,0910 2004 1402,0,M,O,900,MTA - RED LINE - UNION STATION,,,IC,Invest Cont,888,998,,,500 S  HILL                         ST,,34.0488,-118.2518
240120942,11/09/2024 12:00:00 AM,11/09/2024 12:00:00 AM,0100,01,Central,0182,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1200 S  HOPE                         ST,,34.0408,-118.2644
240114333,07/10/2024 12:00:00 AM,07/09/2024 12:00:00 AM,1830,01,Central,0182,1,330,BURGLARY FROM VEHICLE,0344 0329 1609 1307,22,F,C,108,PARKING LOT,,,IC,Invest Cont,330,,,,1100 S  OLIVE                        ST,,34.0409,-118.2609
240117048,08/18/2024 12:00:00 AM,08/17/2024 12:00:00 AM,2150,01,Central,0101,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1307,22,M,W,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,VIN SCULLY,LILAC                        PL,34.0724,-118.251
240106090,01/29/2024 12:00:00 AM,01/27/2024 12:00:00 AM,1015,01,Central,0135,1,330,BURGLARY FROM VEHICLE,1307 0344 0321,37,F,W,108,PARKING LOT,,,IC,Invest Cont,330,,,,200 S  SPRING                       ST,,34.0517,-118.2456
240118606,09/17/2024 12:00:00 AM,09/17/2024 12:00:00 AM,2330,01,Central,0132,2,888,TRESPASSING,0910 1501,0,X,X,135,MTA PROPERTY OR PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,888,,,,200 S  HOPE                         ST,,34.0549,-118.2511
240107735,02/22/2024 12:00:00 AM,02/15/2024 12:00:00 AM,1118,01,Central,0182,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0394,23,F,O,504,OTHER RESIDENCE,,,IC,Invest Cont,440,,,,1000 S  OLIVE                        ST,,34.0423,-118.2595
